algorithm,dataset,precision,recall,jaccard,f1
orion,mulcross,0.411144578,0.670212766,0.920537815,0.509645302
orion,tao,0.860670194,0.016143438,0.612727273,0.031692427
abstractC,mulcross,0.001907378,0.084745763,0.898132324,0.003730787
abstractC,tao,0.517928287,0.653266332,0.973537604,0.577777778
approxStorm,mulcross,0.058747234,0.099883253,0.852935791,0.073981552
approxStorm,tao,0.446453624,0.177866104,0.970825485,0.254385576
microCluster,mulcross,0.004005493,0.088832487,0.89629364,0.007665352
microCluster,tao,0.303663289,0.229581615,0.980876245,0.26147651
